Product Name,Final Price,MRP,Discount,Ram,Display,Camera,Battery,Warranty,Review
"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999","₹9,999",10% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Display,13MP + Depth Lens | 8MP Front Camera,6000 mAh Battery,1 Year Handset Warranty and 6 Months Warranty on Accessories,4.3
"LAVA Blaze Nxt (Glass Red, 64 GB)","₹9,389","₹11,499",18% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.1
"Infinix Hot 11 (Silver Wave, 64 GB)","₹9,999","₹11,999",16% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3
"Infinix Hot 11 (Emerald Green, 64 GB)","₹9,999","₹11,999",16% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,16MP Rear Camera,5000 mAh Battery,"One Year Warranty for Handset, 6 Months for Accessories",4.3
"REDMI 10A (Charcoal Black, 64 GB)","₹8,977","₹10,999",18% off,4 GB RAM | 64 GB ROM,16.59 cm (6.53 inch) Display,8MP Rear Camera | 5MP Front Camera,5200 mAh Li-ion Polymer Battery,1 Year Handset Warranty and 6 Months Warranty on Accessories,4.2
"vivo Y02 (Orchid Blue, 32 GB)","₹8,980","₹12,999",30% off,3 GB RAM | 32 GB ROM,16.54 cm (6.51 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5200 mAh Li-ion Polymer Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2
"Tecno Spark 10C (Meta Green, 8 GB)","₹9,919","₹12,499",20% off,128 GB RAM | 8 GB ROM,16.76 cm (6.6 inch) Display,13MP Rear Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,4.1
"OPPO A17k (Gold, 64 GB)","₹9,499","₹12,999",26% off,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.66 cm (6.56 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,4.5
"REDMI 12c (Royal Blue, 128 GB)","₹9,799","₹15,999",38% off,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,4.1
"Redmi 9A Sport (Coral Green, 32 GB)","₹9,499","₹9,999",1% off,3 GB RAM | 32 GB ROM,16.59 cm (6.53 inch) Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,4.2
"REDMI 9i Sport (Carbon Black, 64 GB)","₹9,899","₹10,999",10% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Handset Warranty and 6 Months Warranty on Accessories,4.3
"REDMI 9 Activ (Carbon Black, 64 GB)","₹9,790","₹10,990",18% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,50MP + 0.3MP | 5MP Front Camera,5000 mAh Battery,1 Year Handset Warranty and 6 Months Warranty on Accessories,4.2
"Nokia C32 (MINT, 64 GB)","₹8,999","₹9,999",10% off,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,13MP Rear Camera,5000 mAh Li-Polymer Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,3.8
"realme Narzo 50i (Mint Green, 64 GB)","₹8,999","₹12,999",23% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Display,48MP + 2MP | 5MP Front Camera,5000 mAh Lithium Polymer Battery,1 Year Replacement Guarantee for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,4.3
"realme C33 (Night Sea, 64 GB)","₹9,999","₹9,999",15% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,0.8MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty For Device and Battery and 6 Months Manufacturer Warranty for In-box Accessories From the Date of Purchase,4.4
