Title,Processors,Ram,Operating System,Display,Price,Review
Lenovo Lenovo V15 Celeron Dual Core - (4 GB/256 GB SSD/Windows 10) 82C30053IH Thin and Light Laptop,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10,39.62 cm (15.6 inch) Display,"₹23,990",3.9
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 10,39.01 cm (15.36 inch) Display,"₹23,990",4
Lenovo IdeaPad 3 CB Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14IGL05 Thin and Light Lap...,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,Windows 11,35.56 cm (14 Inch) Display,"₹23,990",3.7
HP 247 G8 Athlon Dual Core AMD Athlon P3045B - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Thin an...,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,Chrome,35.56 cm (14 inch) Display,"₹23,990",2.6
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,32 bit Windows 11,100.63 cm (39.62 cm) Display,"₹23,990",3
HP 247 G8 Athlon Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Notebook,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,Windows 11,35.56 cm (14 inch) Display,"₹23,990",4
ASUS Celeron Dual Core 10th Gen - (4 GB/256 GB SSD/Windows 11 Home) E410KA-BV002W Business Laptop,Intel Celeron Dual Core Processor (10th Gen),4 GB DDR4 RAM,Windows 11,35.56 cm (14 inch) Display,"₹23,730",4.1
Acer One 11 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) Z8-284 Thin and Light Laptop,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,Windows 11,29.46 cm (11.6 Inch) Display,"₹23,490",3.7
HP Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) 255 G8 Notebook,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,Windows 11,39.62 cm (15.6 Inch) Display,"₹22,999",3.9
Acer Aspire 3 Dual Core 3020e - (4 GB/256 GB SSD/Windows 11 Home) A314-22 Laptop,AMD Dual Core Processor,4 GB DDR4 RAM,DOS,35.56 cm (14 Inch) Display,"₹22,900",4
ASUS Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1020T Laptop,Intel Pentium Quad Core Processor,4 GB DDR4 RAM,64 bit Windows 11,39.62 cm (15.6 inch) Display,"₹22,200",3.5
Lenovo IdeaPad 1 Celeron Dual Core - (4 GB/128 GB SSD/Windows 10 Home) IdeaPad D330 2 in 1 Laptop,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10,25.65 cm (10.1 Inch) Touchscreen Display,"₹22,100",3
HP 255 G9 Athlon Dual Core AMD Athlon Silver-3050U - (4 GB/256 GB SSD/DOS) 255 G9 Notebook,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10,39.62 cm (15.6 inch) Display,"₹21,999",3.7
Acer Chromebook Celeron Dual Core - (4 GB/16 GB EMMC Storage/Chrome OS) C733 Chromebook,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,DOS,29.46 cm (11.6 inch) Display,"₹21,490",3.7
