Title,Processors,Ram,Battery,Price,Review
"REDMI 10 Prime 2022 (Phantom Black, 64 GB)",Mediatek Helio P35 (MT6765) Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,"₹11,949",4.2
"realme Narzo 50A (Oxygen Green, 128 GB)",Exynos 850 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,"₹11,923",4.3
"realme Narzo N53 (Feather Gold, 128 GB)",Dimensity 810 Processor,6 GB RAM | 128 GB ROM,6000 mAh Battery,"₹11,899",4.2
"Nokia G10 (Night | Dark Blue, 64 GB)",Dimensity 810 Processor,4 GB RAM | 64 GB ROM,6000 mAh Battery,"₹11,880",4.2
"MOTOROLA g42 (Atlantic Green, 64 GB)",MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,"₹11,780",4.4
"vivo Y16 (Steller Black, 64 GB)",Dimensity 810 Processor,4 GB RAM | 64 GB ROM,5050 mAh Lithium Ion Battery,"₹11,689",3.9
"Tecno Spark 10 (Magic Skin Orange, 128 GB)",Qualcomm Snapdragon 460 Processor,8 GB RAM | 128 GB ROM,1 Year Manufacturer Warranty For Device and Battery and 6 Months Manufacturer Warranty for In-box Accessories From the Date of Purchase,"₹11,680",4.4
"vivo Y16 (Drizzling Gold, 64 GB)",MediaTek MTK6737 Quad Core 1.25 GHz Processor,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,"₹11,599",3.7
"SAMSUNG Galaxy A04s (Copper, 64 GB)",MediaTek MTK6737 Quad Core 1.25 GHz Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,"₹11,500",3.9
"SAMSUNG Galaxy J6 (Blue, 32 GB)",Mediatek Helio P35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,"₹11,500",4.3
"LAVA X81 4G with VoLTE (Space Grey, 16 GB)",MediaTek MTK6737 Quad Core 1.25 GHz Processor,3 GB RAM | 16 GB ROM | Expandable Upto 64 GB,5000 mAh Lithium Battery,"₹11,499",4.4
"realme Narzo 50A (Oxygen Blue, 64 GB)",Mediatek Helio P35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Battery,"₹11,499",4.1
"Panasonic Eluga Ray Max (Gold, 32 GB)",PowerVR GE8320 Processor,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,3000 mAh Battery,"₹11,499",4.2
"GIONEE A1 Lite (Black, 32 GB)",MediaTek Helio G80 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,2700 mAh Li-Ion Battery,"₹11,499",4.2
"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",MediaTek Helio G80 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,"₹11,499",4
"realme Narzo 50A (Oxygen Green, 64 GB)",MediaTek Helio G80 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,3000 mAh Li-Ion Polymer Battery,"₹11,499",4.4
"SAMSUNG Galaxy A04e (Copper, 128 GB)",Octa Core Processor,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4000 mAh Battery,"₹10,999",4
"Infinix Note 10 (95° Black, 64 GB)",Mediatek Helio G35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Lithium-ion Battery,"₹10,999",4.1
"Tecno Spark 8T (Turquoise Cyan, 64 GB)",MediaTek Helio P22 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,"₹10,999",4
"REDMI 10A SPORT (SLATE GREY, 128 GB)",Mediatek MT6765 Helio G37 Processor,6 GB RAM | 128 GB ROM,5000 mAh Lithium Ion Battery,"₹10,999",4.4
